
 Intel(r) Performance Counter Monitor V2.1 (2012-05-31 14:40:57 +0200 ID=2d18fd5)

 Copyright (c) 2009-2012 Intel Corporation

Num (logical) cores: 3
Num sockets: 2
Threads per core: 1
Core PMU (perfmon) version: 3
Number of core PMU generic (programmable) counters: 8
Width of generic (programmable) counters: 48 bits
Number of core PMU fixed counters: 3
Width of fixed counters: 48 bits
Nominal core frequency: 2300000000 Hz
Number of PCM instances: 3

Detected processor(s) with Intel(r) microarchitecture codename Sandy Bridge-EP/Jaketown

System;;;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;SKT0dataIn;;SKT0dataIn (percent);;SKT1dataIn;;SKT1dataIn (percent);;SKT0trafficOut;;SKT0trafficOut (percent);;SKT1trafficOut;;SKT1trafficOut (percent);;SKT0 Core C-State;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;SKT1 Package C-State;;;;Proc Energy (Joules);;DRAM Energy (Joules);;Core0 (Socket 0);;;;;;;;;;;;;;;Core1 (Socket 1);;;;;;;;;;;;;;;Core2 (Socket 0);;;;;;;;;;;;;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3CLK;L2CLK;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIin;QPItoMC;TotalQPIout;C0res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3CLK;L2CLK;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3CLK;L2CLK;READ;WRITE;TEMP;QPI0;QPI1;QPI0;QPI1;QPI0;QPI1;QPI0;QPI1;QPI0;QPI1;QPI0;QPI1;QPI0;QPI1;QPI0;QPI1;C0res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT0;SKT1;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3CLK;L2CLK;C0res%;C3res%;C6res%;C7res%;TEMP;FFREQ;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3CLK;L2CLK;C0res%;C3res%;C6res%;C7res%;TEMP;FFREQ;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3CLK;L2CLK;C0res%;C3res%;C6res%;C7res%;TEMP;FFREQ;
2017-5-4;10:0:2;0.438;1.25;0.35;1;25.9;26.5;0.0224;0.14;2.03;0.00916;0;0;2.88e+03;2.3e+03;2.19e+03;1.25;31.3;0.438;10.9;0;-nan;0;35;0;0;0;0;0;0;0;54.2;6.99;0.0153;0.623;0.0246;1;0.143;0.358;0.599;0.494;0.239;0.0724;0;0;48;1.28;1.28;1;1;25.8;26.2;0.0145;0.132;2.12;0.00604;0;0;53;0;0;-2147483648%;-2147483648%;0;0;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;2.46;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;25.9;28.3;2.77 ;4.22 ;0.0239;0.741;0.0322;1;0.0645;0.151;0.573;0.587;0.164;0.0452;3.22;0;0;0;48;2300000;1.28;1.28;1;1;25.8;26.2;0.0145;0.132;2.12;0.00604;100;0;0;0;53;2300000;0.00676;0.398;0.017;1;0.0788;0.207;0.619;0.393;0.381;0.124;1.7;0;0;0;56;2300000;
2017-5-4;10:0:3;0.442;1.3;0.34;1;26.3;26.8;0.019;0.12;2.11;0.00807;0;0;2.91e+03;2.24e+03;2.19e+03;1.3;32.5;0.442;11;0;-nan;0;34;0;0;0;0;0;0;0;53.9;6.89;0.00626;0.602;0.0104;1;0.0193;0.0777;0.752;0.611;0.0761;0.0509;0;0;48;1.31;1.31;1;1;26.2;26.7;0.0169;0.117;2.15;0.00718;0;0;52;0;0;-2147483648%;-2147483648%;0;0;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;1.04;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;25.8;28.1;2.77 ;4.12 ;0.01;0.592;0.0169;1;0.0103;0.0625;0.835;0.625;0.05;0.0532;1.69;0;0;0;48;2300000;1.31;1.31;1;1;26.2;26.7;0.0169;0.117;2.15;0.00718;100;0;0;0;54;2300000;0.00251;0.65;0.00386;1;0.00897;0.0152;0.408;0.545;0.191;0.0411;0.386;0;0;0;55;2300000;
2017-5-4;10:0:4;0.435;1.28;0.34;1;25.7;26.1;0.0154;0.134;2.07;0.00641;0;0;2.86e+03;2.24e+03;2.19e+03;1.28;32;0.435;10.9;0;-nan;0;34;0;0;0;0;0;0;0;54;6.9;0.0063;0.606;0.0104;1;0.0148;0.0735;0.799;0.625;0.0584;0.0514;0;0;48;1.29;1.29;1;1;25.7;26.1;0.0132;0.131;2.11;0.00547;0;0;51;0;0;-2147483648%;-2147483648%;0;0;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;1.04;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;25.8;28.2;2.77 ;4.13 ;0.00999;0.593;0.0168;1;0.00696;0.0598;0.884;0.636;0.0339;0.0541;1.68;0;0;0;48;2300000;1.29;1.29;1;1;25.7;26.1;0.0132;0.131;2.11;0.00547;100;0;0;0;53;2300000;0.0026;0.66;0.00394;1;0.00783;0.0137;0.43;0.568;0.163;0.0395;0.394;0;0;0;56;2300000;
2017-5-4;10:0:5;0.433;1.27;0.34;1;26.4;26.9;0.0163;0.123;2.12;0.00698;0;0;2.85e+03;2.24e+03;2.19e+03;1.27;31.9;0.433;10.8;0;-nan;0;34;0;0;0;0;0;0;0;54.1;6.92;0.00611;0.603;0.0101;1;0.0149;0.0739;0.798;0.623;0.0605;0.0523;0;0;47;1.29;1.29;1;1;26.4;26.8;0.0142;0.12;2.17;0.00606;0;0;51;0;0;-2147483648%;-2147483648%;0;0;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;1.01;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;25.8;28.3;2.78 ;4.14 ;0.01;0.591;0.017;1;0.00857;0.0612;0.86;0.634;0.0414;0.0532;1.7;0;0;0;47;2300000;1.29;1.29;1;1;26.4;26.8;0.0142;0.12;2.17;0.00606;100;0;0;0;53;2300000;0.00219;0.664;0.0033;1;0.0064;0.0127;0.497;0.555;0.159;0.0476;0.33;0;0;0;55;2300000;
2017-5-4;10:0:6;0.436;1.28;0.34;1;26.7;27.2;0.018;0.134;2.15;0.00777;0;0;2.87e+03;2.24e+03;2.19e+03;1.28;32.1;0.436;10.9;0;-nan;0;34;0;0;0;0;0;0;0;54;6.86;0.00602;0.592;0.0102;1;0.013;0.119;0.891;0.507;0.0524;0.0887;0;0;48;1.3;1.3;1;1;26.7;27;0.0142;0.131;2.19;0.00611;0;0;52;0;0;-2147483648%;-2147483648%;0;0;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;1.02;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;25.8;28.2;2.77 ;4.1 ;0.00249;0.593;0.0042;1;0.00499;0.0147;0.66;0.625;0.0975;0.0496;0.42;0;0;0;48;2300000;1.3;1.3;1;1;26.7;27;0.0142;0.131;2.19;0.00611;100;0;0;0;54;2300000;0.00954;0.591;0.0161;1;0.00797;0.104;0.924;0.484;0.0405;0.0989;1.61;0;0;0;55;2300000;
2017-5-4;10:0:7;0.448;1.32;0.34;1;25.7;26.4;0.0249;0.156;2.07;0.0104;0;0;2.95e+03;2.24e+03;2.19e+03;1.32;32.9;0.448;11.2;0;-nan;0;34;0;0;0;0;0;0;0;53.9;6.85;0.00634;0.595;0.0107;1;0.0164;0.13;0.874;0.487;0.0629;0.0907;0;0;48;1.33;1.33;1;1;25.7;26.3;0.0207;0.153;2.11;0.00867;0;0;53;0;0;-2147483648%;-2147483648%;0;0;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;1.07;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;25.8;28.1;2.77 ;4.08 ;0.00212;0.602;0.00352;1;0.00732;0.0116;0.371;0.586;0.171;0.0365;0.352;0;0;0;48;2300000;1.33;1.33;1;1;25.7;26.3;0.0207;0.153;2.11;0.00867;100;0;0;0;54;2300000;0.0106;0.593;0.0178;1;0.00906;0.118;0.923;0.475;0.0416;0.101;1.78;0;0;0;55;2300000;
2017-5-4;10:0:8;0.449;1.32;0.34;1;26.9;27.4;0.0193;0.144;2.16;0.00839;0;0;2.95e+03;2.24e+03;2.19e+03;1.32;33;0.449;11.2;0;-nan;0;34;0;0;0;0;0;0;0;54;6.84;0.00615;0.596;0.0103;1;0.0167;0.129;0.87;0.483;0.0664;0.0925;0;0;47;1.33;1.33;1;1;26.9;27.3;0.0153;0.141;2.21;0.00665;0;0;52;0;0;-2147483648%;-2147483648%;0;0;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;1.03;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;25.8;28.2;2.77 ;4.07 ;0.00172;0.615;0.00279;1;0.00548;0.0092;0.404;0.603;0.161;0.0412;0.279;0;0;0;47;2300000;1.33;1.33;1;1;26.9;27.3;0.0153;0.141;2.21;0.00665;100;0;0;0;53;2300000;0.0106;0.594;0.0178;1;0.0112;0.12;0.906;0.471;0.0515;0.101;1.78;0;0;0;55;2300000;
2017-5-4;10:0:9;0.431;1.27;0.34;1;26.3;26.7;0.0163;0.126;2.11;0.00692;0;0;2.83e+03;2.24e+03;2.19e+03;1.27;31.7;0.431;10.8;0;-nan;0;34;0;0;0;0;0;0;0;53.9;6.84;0.00611;0.596;0.0102;1;0.0109;0.124;0.912;0.491;0.0437;0.0935;0;0;48;1.28;1.28;1;1;26.2;26.6;0.0122;0.123;2.15;0.00515;0;0;52;0;0;-2147483648%;-2147483648%;0;0;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;1.02;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;25.8;28.1;2.77 ;4.07 ;0.00164;0.596;0.00275;1;0.00484;0.00885;0.453;0.601;0.144;0.043;0.275;0;0;0;48;2300000;1.28;1.28;1;1;26.2;26.6;0.0122;0.123;2.15;0.00515;100;0;0;0;54;2300000;0.0106;0.597;0.0177;1;0.00607;0.115;0.947;0.48;0.0281;0.101;1.77;0;0;0;56;2300000;
2017-5-4;10:0:10;0.41;1.21;0.34;1;26.2;26.6;0.0142;0.0994;2.11;0.00605;0;0;2.7e+03;2.24e+03;2.19e+03;1.21;30.2;0.41;10.3;0;-nan;0;34;0;0;0;0;0;0;0;53.9;6.85;0.00611;0.595;0.0103;1;0.0142;0.127;0.889;0.489;0.0566;0.0934;0;0;47;1.22;1.22;1;1;26.2;26.5;0.01;0.0962;2.15;0.00425;0;0;52;0;0;-2147483648%;-2147483648%;0;0;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;1.03;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;25.8;28.1;2.77 ;4.08 ;0.00165;0.605;0.00273;1;0.00542;0.0095;0.429;0.604;0.163;0.044;0.273;0;0;0;47;2300000;1.22;1.22;1;1;26.2;26.5;0.01;0.0962;2.15;0.00425;100;0;0;0;53;2300000;0.0106;0.593;0.0178;1;0.00872;0.118;0.926;0.476;0.0402;0.101;1.78;0;0;0;56;2300000;
2017-5-4;10:0:11;0.419;1.23;0.34;1;25.9;26.3;0.0153;0.122;2.08;0.00642;0;0;2.76e+03;2.24e+03;2.19e+03;1.23;30.8;0.419;10.5;0;-nan;0;34;0;0;0;0;0;0;0;54;6.8;0.00627;0.595;0.0105;1;0.015;0.128;0.883;0.487;0.0582;0.0916;0;0;48;1.24;1.25;1;1;25.9;26.2;0.0111;0.119;2.12;0.00463;0;0;52;0;0;-2147483648%;-2147483648%;0;0;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;1.05;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;25.8;28.2;2.77 ;4.03 ;0.00202;0.604;0.00335;1;0.00691;0.0113;0.386;0.588;0.169;0.0382;0.335;0;0;0;48;2300000;1.24;1.25;1;1;25.9;26.2;0.0111;0.119;2.12;0.00463;100;0;0;0;53;2300000;0.0105;0.593;0.0177;1;0.00808;0.117;0.931;0.474;0.0374;0.102;1.77;0;0;0;56;2300000;
