
 Intel(r) Performance Counter Monitor V2.1 (2012-05-31 14:40:57 +0200 ID=2d18fd5)

 Copyright (c) 2009-2012 Intel Corporation

Num (logical) cores: 3
Num sockets: 2
Threads per core: 1
Core PMU (perfmon) version: 3
Number of core PMU generic (programmable) counters: 8
Width of generic (programmable) counters: 48 bits
Number of core PMU fixed counters: 3
Width of fixed counters: 48 bits
Nominal core frequency: 2300000000 Hz

Detected processor(s) with Intel(r) microarchitecture codename Sandy Bridge-EP/Jaketown

System;;;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;SKT0dataIn;;SKT0dataIn (percent);;SKT1dataIn;;SKT1dataIn (percent);;SKT0trafficOut;;SKT0trafficOut (percent);;SKT1trafficOut;;SKT1trafficOut (percent);;SKT0 Core C-State;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;SKT1 Package C-State;;;;Proc Energy (Joules);;DRAM Energy (Joules);;Core0 (Socket 0);;;;;;;;;;;;;;;Core1 (Socket 1);;;;;;;;;;;;;;;Core2 (Socket 0);;;;;;;;;;;;;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3CLK;L2CLK;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIin;QPItoMC;TotalQPIout;C0res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3CLK;L2CLK;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3CLK;L2CLK;READ;WRITE;TEMP;QPI0;QPI1;QPI0;QPI1;QPI0;QPI1;QPI0;QPI1;QPI0;QPI1;QPI0;QPI1;QPI0;QPI1;QPI0;QPI1;C0res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT0;SKT1;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3CLK;L2CLK;C0res%;C3res%;C6res%;C7res%;TEMP;FFREQ;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3CLK;L2CLK;C0res%;C3res%;C6res%;C7res%;TEMP;FFREQ;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3CLK;L2CLK;C0res%;C3res%;C6res%;C7res%;TEMP;FFREQ;
2017-5-4;9:46:30;0.561;1.65;0.34;1;9.55;9.89;0.0339;0.481;0.769;0.00537;0;0;3.69e+03;2.24e+03;2.19e+03;1.65;41.2;0.561;14;0;-nan;0;34;0;0;0;0;0;0;0;53.5;5.99;0.00607;0.603;0.0101;1;0.0147;0.0735;0.8;0.626;0.06;0.0529;0;0;49;1.67;1.67;1;1;9.54;9.81;0.0282;0.479;0.783;0.00442;0;0;52;0;0;-2147483648%;-2147483648%;0;0;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;1.01;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;25.7;27.8;2.78 ;3.21 ;0.0102;0.599;0.0171;1;0.00864;0.0618;0.86;0.638;0.0415;0.0536;1.71;0;0;0;49;2300000;1.67;1.67;1;1;9.54;9.81;0.0282;0.479;0.783;0.00442;100;0;0;0;54;2300000;0.00191;0.628;0.00304;1;0.00606;0.0116;0.479;0.546;0.164;0.0486;0.304;0;0;0;56;2300000;
2017-5-4;9:46:31;0.592;1.74;0.34;1;8.88;9.29;0.0441;0.503;0.715;0.00653;0;0;3.9e+03;2.24e+03;2.19e+03;1.74;43.6;0.592;14.8;0;-nan;0;34;0;0;0;0;0;0;0;53.5;5.98;0.00578;0.606;0.00953;1;0.0123;0.0692;0.823;0.633;0.0528;0.0538;0;0;49;1.76;1.77;1;1;8.87;9.22;0.0383;0.501;0.727;0.00563;0;0;51;0;0;-2147483648%;-2147483648%;0;0;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;0.953;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;25.7;27.8;2.76 ;3.21 ;0.0101;0.603;0.0167;1;0.00793;0.0608;0.87;0.638;0.039;0.0542;1.67;0;0;0;49;2300000;1.76;1.77;1;1;8.87;9.22;0.0383;0.502;0.727;0.00563;100;0;0;0;52;2300000;0.00149;0.628;0.00238;1;0.00433;0.00844;0.487;0.587;0.149;0.0508;0.238;0;0;0;56;2300000;
2017-5-4;9:46:32;0.573;1.69;0.34;1;8.29;8.69;0.0462;0.51;0.667;0.0064;0;0;3.77e+03;2.24e+03;2.19e+03;1.69;42.1;0.573;14.3;0;-nan;0;34;0;0;0;0;0;0;0;53.5;5.96;0.00594;0.607;0.00979;1;0.0134;0.0716;0.814;0.625;0.056;0.0537;0;0;48;1.71;1.71;1;1;8.28;8.62;0.0398;0.508;0.679;0.00548;0;0;52;0;0;-2147483648%;-2147483648%;0;0;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;0.979;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;25.7;27.8;2.77 ;3.19 ;0.0101;0.603;0.0168;1;0.008;0.0613;0.87;0.634;0.0391;0.0545;1.68;0;0;0;48;2300000;1.71;1.71;1;1;8.28;8.62;0.0398;0.508;0.679;0.00548;100;0;0;0;53;2300000;0.00176;0.629;0.0028;1;0.00536;0.0103;0.481;0.56;0.157;0.0487;0.28;0;0;0;56;2300000;
2017-5-4;9:46:33;0.583;1.72;0.34;1;8.87;9.22;0.0386;0.499;0.713;0.00568;0;0;3.84e+03;2.24e+03;2.19e+03;1.72;42.9;0.583;14.6;0;-nan;0;34;0;0;0;0;0;0;0;53.5;5.97;0.00599;0.602;0.00995;1;0.0441;0.11;0.601;0.536;0.182;0.059;0;0;48;1.74;1.74;1;1;8.82;9.11;0.0318;0.499;0.724;0.00462;0;0;52;0;0;-2147483648%;-2147483648%;0;0;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;0.995;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;25.7;27.8;2.76 ;3.22 ;0.00999;0.611;0.0164;1;0.00479;0.0566;0.915;0.649;0.024;0.0543;1.64;0;0;0;48;2300000;1.74;1.74;1;1;8.82;9.11;0.0318;0.499;0.724;0.00461;100;0;0;0;53;2300000;0.00198;0.559;0.00355;1;0.0393;0.0538;0.27;0.299;0.909;0.0807;0.355;0;0;0;57;2300000;
2017-5-4;9:46:34;0.571;1.68;0.34;1;8.6;8.94;0.0387;0.498;0.692;0.00553;0;0;3.76e+03;2.24e+03;2.19e+03;1.68;42;0.571;14.3;0;-nan;0;34;0;0;0;0;0;0;0;53.5;6.02;0.00607;0.605;0.01;1;0.0145;0.0734;0.802;0.627;0.0593;0.053;0;0;49;1.7;1.7;1;1;8.59;8.87;0.0324;0.496;0.705;0.00458;0;0;52;0;0;-2147483648%;-2147483648%;0;0;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;25.7;27.8;2.77 ;3.25 ;0.0102;0.6;0.017;1;0.00838;0.0622;0.865;0.637;0.0403;0.0543;1.7;0;0;0;49;2300000;1.7;1.7;1;1;8.59;8.87;0.0323;0.496;0.705;0.00458;100;0;0;0;53;2300000;0.00192;0.633;0.00302;1;0.00614;0.0112;0.452;0.559;0.166;0.0458;0.303;0;0;0;56;2300000;
2017-5-4;9:46:35;0.569;1.67;0.34;1;9.09;9.48;0.0405;0.503;0.731;0.00612;0;0;3.75e+03;2.24e+03;2.19e+03;1.67;41.8;0.569;14.2;0;-nan;0;34;0;0;0;0;0;0;0;53.6;5.98;0.00608;0.597;0.0102;1;0.0129;0.101;0.872;0.552;0.0521;0.0753;0;0;48;1.69;1.7;1;1;9.08;9.37;0.0315;0.503;0.745;0.00471;0;0;51;0;0;-2147483648%;-2147483648%;0;0;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;1.02;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;25.7;27.8;2.75 ;3.22 ;0.00546;0.6;0.00909;1;0.00724;0.0327;0.778;0.634;0.0654;0.0516;0.909;0;0;0;48;2300000;1.69;1.7;1;1;9.08;9.37;0.0315;0.503;0.745;0.00471;100;0;0;0;53;2300000;0.0067;0.594;0.0113;1;0.0057;0.0685;0.917;0.499;0.0415;0.0944;1.13;0;0;0;56;2300000;
2017-5-4;9:46:36;0.609;1.79;0.34;1;8.55;8.95;0.0451;0.461;0.687;0.00644;0;0;4.01e+03;2.24e+03;2.19e+03;1.79;44.8;0.609;15.2;0;-nan;0;34;0;0;0;0;0;0;0;53.5;6.03;0.0062;0.602;0.0103;1;0.0153;0.125;0.878;0.492;0.061;0.0912;0;0;48;1.82;1.82;1;1;8.53;8.82;0.0333;0.461;0.7;0.00469;0;0;51;0;0;-2147483648%;-2147483648%;0;0;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;1.03;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;25.7;27.8;2.78 ;3.25 ;0.00222;0.599;0.00371;1;0.0096;0.0141;0.321;0.54;0.212;0.0356;0.371;0;0;0;48;2300000;1.82;1.82;1;1;8.53;8.82;0.0333;0.461;0.7;0.00469;100;0;0;0;52;2300000;0.0102;0.603;0.0169;1;0.00572;0.111;0.949;0.485;0.0278;0.103;1.69;0;0;0;55;2300000;
2017-5-4;9:46:37;0.608;1.79;0.34;1;8.96;9.24;0.0302;0.455;0.721;0.00449;0;0;4e+03;2.24e+03;2.19e+03;1.79;44.7;0.608;15.2;0;-nan;0;34;0;0;0;0;0;0;0;53.4;5.95;0.00609;0.597;0.0102;1;0.0169;0.129;0.869;0.487;0.068;0.0938;0;0;49;1.81;1.81;1;1;8.95;9.11;0.0183;0.454;0.734;0.00267;0;0;52;0;0;-2147483648%;-2147483648%;0;0;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;1.02;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;25.7;27.7;2.77 ;3.18 ;0.00177;0.603;0.00294;1;0.0066;0.0104;0.364;0.575;0.184;0.0403;0.294;0;0;0;49;2300000;1.81;1.81;1;1;8.95;9.11;0.0183;0.454;0.734;0.00267;100;0;0;0;53;2300000;0.0104;0.596;0.0175;1;0.0103;0.119;0.913;0.478;0.0485;0.103;1.75;0;0;0;56;2300000;
2017-5-4;9:46:38;0.631;1.86;0.34;1;8.88;9.19;0.0331;0.479;0.715;0.00487;0;0;4.15e+03;2.24e+03;2.19e+03;1.86;46.4;0.631;15.8;0;-nan;0;34;0;0;0;0;0;0;0;53.5;6.03;0.00597;0.598;0.00998;1;0.0123;0.123;0.9;0.493;0.0507;0.0944;0;0;48;1.88;1.88;1;1;8.87;9.06;0.0213;0.478;0.728;0.00308;0;0;51;0;0;-2147483648%;-2147483648%;0;0;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;0.998;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;25.7;27.7;2.77 ;3.26 ;0.00169;0.582;0.00291;1;0.0062;0.0102;0.39;0.573;0.175;0.0408;0.291;0;0;0;48;2300000;1.88;1.88;1;1;8.87;9.06;0.0213;0.478;0.728;0.00308;100;0;0;0;53;2300000;0.0102;0.601;0.0171;1;0.00614;0.113;0.946;0.485;0.0295;0.104;1.71;0;0;0;56;2300000;
2017-5-4;9:46:39;0.591;1.74;0.34;1;8.83;9.18;0.0384;0.456;0.711;0.00562;0;0;3.89e+03;2.24e+03;2.19e+03;1.74;43.5;0.591;14.8;0;-nan;0;34;0;0;0;0;0;0;0;53.4;5.98;0.00583;0.598;0.00975;1;0.0127;0.123;0.897;0.492;0.0536;0.096;0;0;49;1.76;1.76;1;1;8.82;9.06;0.0267;0.455;0.724;0.00386;0;0;52;0;0;-2147483648%;-2147483648%;0;0;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;0.975;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;25.7;27.7;2.77 ;3.21 ;0.00141;0.603;0.00233;1;0.00438;0.00791;0.446;0.6;0.154;0.0468;0.233;0;0;0;49;2300000;1.76;1.76;1;1;8.82;9.06;0.0267;0.455;0.724;0.00386;100;0;0;0;53;2300000;0.0103;0.597;0.0172;1;0.00836;0.115;0.927;0.483;0.0399;0.103;1.72;0;0;0;56;2300000;
